benchmark,shape,method,thread,parameter,time(s),speedup
resize,"(128, 256, 1, 100)",triton,1,"(4,)",0.476657,0.9272
resize,"(128, 256, 1, 100)",triton,1,"(8,)",0.542656,0.8145
resize,"(128, 256, 1, 100)",triton,1,"(16,)",0.550965,0.8022
resize,"(128, 256, 1, 100)",triton,1,"(32,)",0.594451,0.7435
resize,"(128, 256, 1, 100)",triton,4,"(4,)",0.125527,3.521
resize,"(128, 256, 1, 100)",triton,4,"(8,)",0.141339,3.1271
resize,"(128, 256, 1, 100)",triton,4,"(16,)",0.143743,3.0748
resize,"(128, 256, 1, 100)",triton,4,"(32,)",0.155,2.8515
resize,"(128, 256, 1, 100)",triton,8,"(4,)",0.0662793,6.6684
resize,"(128, 256, 1, 100)",triton,8,"(8,)",0.0748633,5.9038
resize,"(128, 256, 1, 100)",triton,8,"(16,)",0.0768888,5.7482
resize,"(128, 256, 1, 100)",triton,8,"(32,)",0.0820629,5.3858
resize,"(256, 32, 1, 100)",triton,1,"(4,)",0.124351,0.9291
resize,"(256, 32, 1, 100)",triton,1,"(8,)",0.140987,0.8195
resize,"(256, 32, 1, 100)",triton,1,"(16,)",0.142993,0.808
resize,"(256, 32, 1, 100)",triton,1,"(32,)",0.153868,0.7509
resize,"(256, 32, 1, 100)",triton,4,"(4,)",0.0361849,3.193
resize,"(256, 32, 1, 100)",triton,4,"(8,)",0.0404578,2.8558
resize,"(256, 32, 1, 100)",triton,4,"(16,)",0.0411211,2.8097
resize,"(256, 32, 1, 100)",triton,4,"(32,)",0.0439885,2.6266
resize,"(256, 32, 1, 100)",triton,8,"(4,)",0.0220439,5.2414
resize,"(256, 32, 1, 100)",triton,8,"(8,)",0.0242004,4.7743
resize,"(256, 32, 1, 100)",triton,8,"(16,)",0.0246919,4.6793
resize,"(256, 32, 1, 100)",triton,8,"(32,)",0.0259817,4.447
resize,"(256, 64, 1, 100)",triton,1,"(4,)",0.24097,0.9329
resize,"(256, 64, 1, 100)",triton,1,"(8,)",0.275276,0.8166
resize,"(256, 64, 1, 100)",triton,1,"(16,)",0.279635,0.8039
resize,"(256, 64, 1, 100)",triton,1,"(32,)",0.301597,0.7454
resize,"(256, 64, 1, 100)",triton,4,"(4,)",0.0656853,3.4223
resize,"(256, 64, 1, 100)",triton,4,"(8,)",0.0743062,3.0253
resize,"(256, 64, 1, 100)",triton,4,"(16,)",0.0749628,2.9988
resize,"(256, 64, 1, 100)",triton,4,"(32,)",0.0810331,2.7741
resize,"(256, 64, 1, 100)",triton,8,"(4,)",0.0372914,6.0281
resize,"(256, 64, 1, 100)",triton,8,"(8,)",0.0414186,5.4274
resize,"(256, 64, 1, 100)",triton,8,"(16,)",0.0417155,5.3888
resize,"(256, 64, 1, 100)",triton,8,"(32,)",0.0444648,5.0556
resize,"(256, 128, 1, 100)",triton,1,"(4,)",0.476511,0.9296
resize,"(256, 128, 1, 100)",triton,1,"(8,)",0.543529,0.815
resize,"(256, 128, 1, 100)",triton,1,"(16,)",0.551491,0.8032
resize,"(256, 128, 1, 100)",triton,1,"(32,)",0.595853,0.7434
resize,"(256, 128, 1, 100)",triton,4,"(4,)",0.125989,3.5158
resize,"(256, 128, 1, 100)",triton,4,"(8,)",0.141979,3.1199
resize,"(256, 128, 1, 100)",triton,4,"(16,)",0.143952,3.0771
