benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,8,"(32, 16, 8)",0.0190774,1.2601
matmul,"(32, 32, 32, 10)",triton,8,"(32, 16, 16)",0.0133995,1.7941
matmul,"(32, 32, 32, 10)",triton,8,"(32, 16, 32)",0.0133627,1.799
matmul,"(32, 32, 32, 10)",triton,8,"(32, 32, 4)",0.0026835,8.9582
matmul,"(32, 32, 32, 10)",triton,8,"(32, 32, 8)",0.00218313,11.0114
matmul,"(32, 32, 32, 10)",triton,8,"(32, 32, 16)",0.00181949,13.2122
matmul,"(32, 32, 32, 10)",triton,8,"(32, 32, 32)",0.00176604,13.612
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 4)",0.0163143,0.8095
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 8)",0.0164942,0.8006
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 16)",0.0162607,0.8121
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 32)",0.0162625,0.812
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 4)",0.0143551,0.9199
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 8)",0.0147676,0.8942
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 16)",0.0140555,0.9395
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 32)",0.023077,0.5722
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 4)",0.017202,0.7677
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 8)",0.0136998,0.9639
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 16)",0.0143248,0.9219
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 32)",0.0142343,0.9277
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 4)",0.0162855,0.8109
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 8)",0.0139857,0.9442
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 16)",0.0137807,0.9583
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 32)",0.0137846,0.958
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 4)",0.0158182,0.8348
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 8)",0.0154282,0.8559
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 16)",0.0148778,0.8876
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 32)",0.0149278,0.8846
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 4)",0.0135018,0.9781
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 8)",0.0130246,1.0139
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 16)",0.0139576,0.9461
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 32)",0.0138212,0.9555
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 4)",0.0168973,0.7815
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 8)",0.0133124,0.992
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 16)",0.0129539,1.0194
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 32)",0.0131354,1.0054
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 4)",0.0134139,0.9845
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 8)",0.0131528,1.004
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 16)",0.0146242,0.903
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 32)",0.0131633,1.0032
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 4)",0.0151175,0.8735
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 8)",0.0149913,0.8809
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 16)",0.0144404,0.9145
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 32)",0.0135908,0.9717
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 4)",0.0202803,0.6512
